1702400967.928968 client started (30830): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702400967.929141 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:18 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6000
1702400967.930660 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1702400967.930707 flags are 0x10010000
1702400967.930719 socket is /private/tmp/tmux-501/default
1702400967.930740 trying connect
1702400967.930832 add peer 0x128048000: 6 (0x0)
1702400967.933447 sending message 100 to peer 0x128048000 (4 bytes)
1702400967.933460 sending message 111 to peer 0x128048000 (8 bytes)
1702400967.933467 sending message 101 to peer 0x128048000 (16 bytes)
1702400967.933474 sending message 109 to peer 0x128048000 (4 bytes)
1702400967.933481 sending message 102 to peer 0x128048000 (13 bytes)
1702400967.933488 sending message 108 to peer 0x128048000 (41 bytes)
1702400967.933494 sending message 112 to peer 0x128048000 (70 bytes)
1702400967.933501 sending message 112 to peer 0x128048000 (5 bytes)
1702400967.933507 sending message 112 to peer 0x128048000 (5 bytes)
1702400967.933514 sending message 112 to peer 0x128048000 (6 bytes)
1702400967.933520 sending message 112 to peer 0x128048000 (6 bytes)
1702400967.933527 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933533 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933540 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933546 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933553 sending message 112 to peer 0x128048000 (18 bytes)
1702400967.933559 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933566 sending message 112 to peer 0x128048000 (21 bytes)
1702400967.933572 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933578 sending message 112 to peer 0x128048000 (7 bytes)
1702400967.933585 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933591 sending message 112 to peer 0x128048000 (7 bytes)
1702400967.933598 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933604 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933610 sending message 112 to peer 0x128048000 (21 bytes)
1702400967.933617 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933623 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933630 sending message 112 to peer 0x128048000 (12 bytes)
1702400967.933636 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933642 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933649 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933655 sending message 112 to peer 0x128048000 (12 bytes)
1702400967.933662 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933668 sending message 112 to peer 0x128048000 (7 bytes)
1702400967.933674 sending message 112 to peer 0x128048000 (7 bytes)
1702400967.933681 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933687 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933693 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933700 sending message 112 to peer 0x128048000 (15 bytes)
1702400967.933706 sending message 112 to peer 0x128048000 (13 bytes)
1702400967.933713 sending message 112 to peer 0x128048000 (12 bytes)
1702400967.933719 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933725 sending message 112 to peer 0x128048000 (14 bytes)
1702400967.933732 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933738 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933744 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933751 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933757 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933763 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933770 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933776 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933782 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933789 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933811 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933816 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933821 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933825 sending message 112 to peer 0x128048000 (8 bytes)
1702400967.933830 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933834 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933839 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933843 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933848 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933852 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933856 sending message 112 to peer 0x128048000 (11 bytes)
1702400967.933861 sending message 112 to peer 0x128048000 (10 bytes)
1702400967.933865 sending message 112 to peer 0x128048000 (9 bytes)
1702400967.933870 sending message 112 to peer 0x128048000 (9 bytes)
